년월,개봉편수,상영편수,매출액,관객수
2021-01,65,126,"1,179,309,800","139,399"
2021-02,68,126,"6,094,964,680","680,320"
2021-03,92,155,"3,512,738,630","389,126"
2021-04,97,196,"9,974,475,530","1,112,105"
2021-05,60,144,"7,424,307,860","800,206"
2021-06,68,157,"6,306,889,860","698,702"
2021-07,55,143,"20,670,598,810","2,121,850"
2021-08,47,135,"58,286,487,410","6,021,266"
2021-09,19,70,"8,079,450,533","847,899"
2020-01,59,141,"99,273,272,998","11,588,401"
2020-02,59,142,"41,728,302,280","4,942,629"
2020-03,51,87,"2,526,011,700","307,866"
2020-04,71,129,"1,120,062,760","146,076"
2020-05,65,152,"1,742,834,320","220,161"
2020-06,59,147,"24,208,838,380","2,786,453"
2020-07,69,164,"39,977,863,060","4,691,845"
2020-08,56,160,"64,775,432,900","7,377,554"
2020-09,72,170,"11,534,772,912","1,359,285"
2020-10,90,182,"32,399,531,140","3,561,425"
2020-11,66,253,"25,960,977,420","2,868,649"
2020-12,65,160,"5,164,273,920","612,027"
2019-01,46,130,"99,614,450,357","11,950,823"
2019-02,33,109,"146,336,183,090","17,228,752"
2019-03,46,136,"53,449,954,665","6,267,605"
2019-04,51,144,"23,535,909,622","2,871,972"
2019-05,59,166,"72,430,147,833","8,614,235"
2019-06,44,143,"84,708,194,720","9,943,592"
2019-07,54,140,"25,376,188,033","3,340,740"
2019-08,70,171,"151,959,834,460","17,981,401"
2019-09,61,180,"101,553,036,040","11,964,689"
2019-10,76,215,"56,279,424,550","6,800,894"
2019-11,71,264,"57,704,769,420","6,874,030"
2019-12,86,239,"97,845,315,661","11,783,129"
2018-01,65,129,"112,741,611,565","14,061,620"
2018-02,36,121,"56,020,721,704","6,989,199"
2018-03,62,165,"63,213,457,740","7,916,144"
2018-04,56,154,"38,011,778,590","4,690,560"
2018-05,53,153,"42,903,891,874","5,094,177"
2018-06,44,129,"53,217,456,855","6,212,328"
2018-07,50,142,"44,322,728,008","5,391,934"
2018-08,53,155,"186,170,649,912","22,208,501"
2018-09,42,147,"100,808,035,805","11,772,617"
2018-10,55,176,"62,799,650,962","7,477,689"
2018-11,95,291,"68,243,950,744","8,208,351"
2018-12,50,207,"84,292,498,549","10,126,167"
2017-01,35,97,"103,632,127,178","12,685,442"
2017-02,39,115,"71,077,718,328","8,899,613"
2017-03,31,123,"34,826,380,618","4,369,444"
2017-04,29,129,"33,897,976,894","4,284,843"
2017-05,31,126,"50,856,129,913","6,470,245"
2017-06,49,130,"38,123,211,144","4,909,675"
2017-07,50,162,"52,799,217,975","6,862,644"
2017-08,49,129,"167,832,905,977","21,381,562"
2017-09,48,176,"47,259,711,457","5,986,904"
2017-10,35,137,"104,511,668,918","12,963,728"
2017-11,56,206,"49,781,001,622","6,426,532"
2017-12,43,206,"148,069,306,314","18,666,435"
2016-01,20,77,"60,016,713,983","7,634,699"
2016-02,25,91,"103,991,425,764","13,267,625"
2016-03,23,116,"31,331,171,522","4,031,857"
2016-04,23,131,"26,122,816,885","3,252,666"
2016-05,31,132,"67,218,118,387","8,368,494"
2016-06,32,118,"58,245,241,327","7,249,926"
2016-07,23,134,"126,970,414,998","15,777,301"
2016-08,26,122,"162,988,395,005","20,547,734"
2016-09,33,142,"83,226,021,170","10,374,580"
2016-10,21,112,"67,801,188,851","8,340,017"
2016-11,46,156,"35,623,060,298","4,588,229"
2016-12,34,163,"104,330,459,533","13,122,761"
2015-01,15,82,"110,123,050,402","14,019,496"
2015-02,13,87,"63,402,259,578","8,048,675"
2015-03,17,99,"30,469,065,119","3,899,544"
2015-04,18,100,"24,782,124,375","3,255,669"
2015-05,16,103,"44,274,804,858","5,560,234"
2015-06,17,90,"43,789,231,632","5,647,112"
2015-07,23,78,"85,792,613,127","11,234,744"
2015-08,20,82,"164,358,636,321","21,091,823"
2015-09,36,128,"88,786,659,519","11,275,311"
2015-10,27,156,"48,779,960,823","6,397,661"
2015-11,28,171,"81,573,437,650","10,414,836"
2015-12,27,135,"93,527,058,256","12,096,777"
2014-01,15,86,"99,101,347,509","13,611,121"
2014-02,12,109,"71,668,084,431","9,912,782"
2014-03,15,108,"24,212,063,078","3,253,459"
2014-04,23,101,"15,114,827,755","2,017,985"
2014-05,13,82,"65,093,716,390","8,289,355"
2014-06,13,90,"35,163,556,471","4,454,267"
2014-07,19,74,"79,336,083,129","10,235,204"
2014-08,20,86,"194,237,742,603","25,094,344"
2014-09,18,95,"62,569,565,061","7,938,374"
2014-10,23,121,"51,234,024,725","6,731,794"
2014-11,21,131,"24,270,169,163","3,253,828"
2014-12,25,116,"98,638,388,987","12,911,409"
2013-01,12,72,"86,677,556,405","11,991,567"
2013-02,11,70,"130,894,686,326","18,096,302"
2013-03,13,110,"61,201,469,748","8,390,158"
2013-04,9,52,"32,054,115,504","4,475,650"
2013-05,13,69,"30,544,272,319","4,337,853"
2013-06,11,67,"58,033,417,289","8,268,359"
2013-07,13,66,"60,270,583,515","8,515,299"
2013-08,22,74,"156,147,574,288","21,961,332"
2013-09,12,121,"92,193,253,948","12,795,168"
2013-10,27,117,"65,631,032,238","9,296,245"
2013-11,25,105,"52,266,079,939","7,369,028"
2013-12,15,111,"84,018,838,586","11,794,820"
2012-01,8,51,"62,491,300,400","8,242,562"
2012-02,10,51,"75,105,652,262","9,912,005"
2012-03,20,96,"51,755,260,688","6,832,444"
2012-04,11,56,"37,381,873,548","5,061,100"
2012-05,15,70,"49,605,658,176","6,752,629"
2012-06,9,79,"55,734,339,362","7,660,710"
2012-07,13,73,"71,512,357,308","10,043,083"
2012-08,15,67,"122,141,525,364","17,010,728"
2012-09,10,73,"74,226,181,141","10,167,464"
2012-10,21,78,"75,370,795,264","10,468,559"
2012-11,29,112,"82,784,597,276","11,701,351"
2012-12,15,97,"80,128,630,445","11,058,956"
